Country,Province,District,VDC/Municipality,Ward No.,Tole
Nepal,Madhesh Province,MAHOTTARI,Ram Gopalpur Urban Municipality,,
Nepal,Madhesh Province,MAHOTTARI,Samsi Rural Municipality,,
Nepal,Madhesh Province,MAHOTTARI,Manara Shisawa Urban Municipality,,
Nepal,Madhesh Province,MAHOTTARI,Ekadara Rural Municipality,,
Nepal,Madhesh Province,MAHOTTARI,Mahottari Rural Municipality,,
Nepal,Madhesh Province,MAHOTTARI,Pipara Rural Municipality,,
Nepal,Madhesh Province,MAHOTTARI,Matihani Urban Municipality,,
Nepal,Madhesh Province,MAHOTTARI,Jaleshwor Urban Municipality,,
Nepal,Madhesh Province,SARLAHI,Lalbandi Urban Municipality,,
Nepal,Madhesh Province,SARLAHI,Hariwan Urban Municipality,,
Nepal,Madhesh Province,SARLAHI,Bagmati Urban Municipality,,
Nepal,Madhesh Province,SARLAHI,Barahathawa Urban Municipality,,
Nepal,Madhesh Province,SARLAHI,Haripur Urban Municipality,,
Nepal,Madhesh Province,SARLAHI,Ishworpur Urban Municipality,,
Nepal,Madhesh Province,SARLAHI,Haripurwa Urban Municipality,,
Nepal,Madhesh Province,SARLAHI,Parsa Rural Municipality,,
Nepal,Madhesh Province,SARLAHI,Brahmapuri Rural Municipality,,
Nepal,Madhesh Province,SARLAHI,Chandranagar Rural Municipality,,
Nepal,Madhesh Province,SARLAHI,Kabilashi Urban Municipality,,
Nepal,Madhesh Province,SARLAHI,Chakraghatta Rural Municipality,,
Nepal,Madhesh Province,SARLAHI,Basbariya Rural Municipality,,
Nepal,Madhesh Province,SARLAHI,Dhanakaul Rural Municipality,,
Nepal,Madhesh Province,SARLAHI,Ramnagar Rural Municipality,,
Nepal,Madhesh Province,SARLAHI,Balara Urban Municipality,,
Nepal,Madhesh Province,SARLAHI,Godaita Urban Municipality,,
Nepal,Madhesh Province,SARLAHI,Bishnu Rural Municipality,,
Nepal,Madhesh Province,SARLAHI,Kaudena Rural Municipality,,
Nepal,Madhesh Province,SARLAHI,Malangawa Urban Municipality,,
Nepal,Madhesh Province,RAUTAHAT,Chandrapur Urban Municipality,,
Nepal,Madhesh Province,RAUTAHAT,Gujara Urban Municipality,,
Nepal,Madhesh Province,RAUTAHAT,Phatuwa Bijayapur Urban Municipality,,
Nepal,Madhesh Province,RAUTAHAT,Katahariya Urban Municipality,,
Nepal,Madhesh Province,RAUTAHAT,Brindaban Urban Municipality,,
Nepal,Madhesh Province,RAUTAHAT,Gadhimai Urban Municipality,,
Nepal,Madhesh Province,RAUTAHAT,Madhav Narayan Urban Municipality,,
Nepal,Madhesh Province,RAUTAHAT,Garuda Urban Municipality,,
Nepal,Madhesh Province,RAUTAHAT,Dewahi Gonahi Urban Municipality,,
Nepal,Madhesh Province,RAUTAHAT,Maulapur Urban Municipality,,
Nepal,Madhesh Province,RAUTAHAT,Boudhimai Urban Municipality,,
Nepal,Madhesh Province,RAUTAHAT,Paroha Urban Municipality,,
Nepal,Madhesh Province,RAUTAHAT,Rajpur Urban Municipality,,
Nepal,Madhesh Province,RAUTAHAT,Yamunamai Rural Municipality,,
Nepal,Madhesh Province,RAUTAHAT,Durga Bhagawati Rural Municipality,,
Nepal,Madhesh Province,RAUTAHAT,Rajdevi Urban Municipality,,
Nepal,Madhesh Province,RAUTAHAT,Gaur Urban Municipality,,
Nepal,Madhesh Province,RAUTAHAT,Ishanath Urban Municipality,,
Nepal,Madhesh Province,BARA,Nijagadh Urban Municipality,,
Nepal,Madhesh Province,BARA,Kolhabi Urban Municipality,,
Nepal,Madhesh Province,BARA,Jitpur Simara Sub-Metropolitian City,,
Nepal,Madhesh Province,BARA,Parawanipur Rural Municipality,,
Nepal,Madhesh Province,BARA,Prasauni Rural Municipality,,
Nepal,Madhesh Province,BARA,Bishrampur Rural Municipality,,
Nepal,Madhesh Province,BARA,Pheta Rural Municipality,,
Nepal,Madhesh Province,BARA,Kalaiya Sub-Metropolitian City,,
Nepal,Madhesh Province,BARA,Karaiyamai Rural Municipality,,
Nepal,Madhesh Province,BARA,Baragadhi Rural Municipality,,
Nepal,Madhesh Province,BARA,Aadarsha Kotwal Rural Municipality,,
Nepal,Madhesh Province,BARA,Simroungadh Urban Municipality,,
Nepal,Madhesh Province,BARA,Pacharauta Urban Municipality,,
Nepal,Madhesh Province,BARA,Mahagadhimai Urban Municipality,,
Nepal,Madhesh Province,BARA,Devtal Rural Municipality,,
Nepal,Madhesh Province,BARA,Subarna Rural Municipality,,
Nepal,Madhesh Province,PARSA,Thori Rural Municipality,,
Nepal,Madhesh Province,PARSA,Jirabhawani Rural Municipality,,
Nepal,Madhesh Province,PARSA,Jagarnathpur Rural Municipality,,
Nepal,Madhesh Province,PARSA,Paterwa Sugauli Rural Municipality,,
Nepal,Madhesh Province,PARSA,Sakhuwa Prasauni Rural Municipality,,
Nepal,Madhesh Province,PARSA,Parsagadhi Urban Municipality,,
Nepal,Madhesh Province,PARSA,Birgunj Metropolitian City,,
Nepal,Madhesh Province,PARSA,Bahudarmai Urban Municipality,,
Nepal,Madhesh Province,PARSA,Pokhariya Urban Municipality,,
Nepal,Madhesh Province,PARSA,Kalikamai Rural Municipality,,
