Country,Province,District,VDC/Municipality,Ward No.,Tole
Nepal,Bagmati Province,KATHMANDU,Budhanilkhantha Urban Municipality,,
Nepal,Bagmati Province,KATHMANDU,Tokha Urban Municipality,,
Nepal,Bagmati Province,KATHMANDU,Tarakeshwor Urban Municipality,,
Nepal,Bagmati Province,KATHMANDU,Nagarjun Urban Municipality,,
Nepal,Bagmati Province,KATHMANDU,Kathmandu Metropolitian City,,
Nepal,Bagmati Province,KATHMANDU,Kirtipur Urban Municipality,,
Nepal,Bagmati Province,KATHMANDU,Chandragiri Urban Municipality,,
Nepal,Bagmati Province,KATHMANDU,Dakshinkali Urban Municipality,,
Nepal,Bagmati Province,BHAKTAPUR,Changunarayan Urban Municipality,,
Nepal,Bagmati Province,BHAKTAPUR,Bhaktapur Urban Municipality,,
Nepal,Bagmati Province,BHAKTAPUR,Madhyapur Thimi Urban Municipality,,
Nepal,Bagmati Province,BHAKTAPUR,Suryabinayak Urban Municipality,,
Nepal,Bagmati Province,LALITPUR,Mahalaxmi Urban Municipality,,
Nepal,Bagmati Province,LALITPUR,Lalitpur Metropolitian City,,
Nepal,Bagmati Province,LALITPUR,Godawari Urban Municipality,,
Nepal,Bagmati Province,LALITPUR,Konjyosom Rural Municipality,,
Nepal,Bagmati Province,LALITPUR,Mahankal Rural Municipality,,
Nepal,Bagmati Province,LALITPUR,Bagmati Rural Municipality,,
Nepal,Bagmati Province,KAVREPALANCHOK,Chauri Deurali Rural Municipality,,
Nepal,Bagmati Province,KAVREPALANCHOK,Bhumlu Rural Municipality,,
Nepal,Bagmati Province,KAVREPALANCHOK,Mandan Deupur Urban Municipality,,
Nepal,Bagmati Province,KAVREPALANCHOK,Banepa Urban Municipality,,
Nepal,Bagmati Province,KAVREPALANCHOK,Dhulikhel Urban Municipality,,
Nepal,Bagmati Province,KAVREPALANCHOK,Panchkhal Urban Municipality,,
Nepal,Bagmati Province,KAVREPALANCHOK,Temal Rural Municipality,,
Nepal,Bagmati Province,KAVREPALANCHOK,Namobuddha Urban Municipality,,
Nepal,Bagmati Province,KAVREPALANCHOK,Panauti Urban Municipality,,
Nepal,Bagmati Province,KAVREPALANCHOK,Bethanchowk Rural Municipality,,
Nepal,Bagmati Province,KAVREPALANCHOK,Roshi Rural Municipality,,
Nepal,Bagmati Province,KAVREPALANCHOK,Mahabharat Rural Municipality,,
Nepal,Bagmati Province,KAVREPALANCHOK,Khanikhola Rural Municipality,,
Nepal,Bagmati Province,RAMECHHAP,Umakunda Rural Municipality,,
Nepal,Bagmati Province,RAMECHHAP,Gokulganga Rural Municipality,,
Nepal,Bagmati Province,RAMECHHAP,Likhu Tamakoshi Rural Municipality,,
Nepal,Bagmati Province,RAMECHHAP,Ramechhap Urban Municipality,,
Nepal,Bagmati Province,RAMECHHAP,Manthali  Urban Municipality,,
Nepal,Bagmati Province,RAMECHHAP,Khandadevi Rural Municipality,,
Nepal,Bagmati Province,RAMECHHAP,Doramba Rural Municipality,,
Nepal,Bagmati Province,RAMECHHAP,Sunapati Rural Municipality,,
Nepal,Bagmati Province,SINDHULI,Dudhouli Urban Municipality,,
Nepal,Bagmati Province,SINDHULI,Phikkal Rural Municipality,,
Nepal,Bagmati Province,SINDHULI,Tinpatan Rural Municipality,,
Nepal,Bagmati Province,SINDHULI,Golanjor Rural Municipality,,
Nepal,Bagmati Province,SINDHULI,Kamalamai Urban Municipality,,
Nepal,Bagmati Province,SINDHULI,Sunkoshi Rural Municipality,,
Nepal,Bagmati Province,SINDHULI,Ghyanglekha Rural Municipality,,
Nepal,Bagmati Province,SINDHULI,Marin Rural Municipality,,
Nepal,Bagmati Province,SINDHULI,Hariharpurgaghi Rural Municipality,,
Nepal,Bagmati Province,MAKWANPUR,Indrasarowar Rural Municipality,,
